2021-06-24 16:50:02 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 16:50:16 INFO  HepsiburadaPage:63 - Elektronik menüsüne tıklandı.
2021-06-24 16:50:22 INFO  HepsiburadaPage:69 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 16:50:24 INFO  HepsiburadaPage:76 - Bilgisayar modeli MSI seçildi.
2021-06-24 16:50:31 INFO  HepsiburadaPage:80 - İkinci sayfa açıldı.
2021-06-24 16:50:35 INFO  HepsiburadaPage:87 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 16:50:36 INFO  HepsiburadaPage:94 - İkinci ürün favorilere eklendi.
2021-06-24 16:51:16 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 16:51:17 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 16:51:18 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 16:51:21 INFO  HepsiburadaPage:130 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 16:51:24 INFO  HepsiburadaPage:136 - Profilim penceresi açıldı.
2021-06-24 16:51:25 INFO  HepsiburadaPage:141 - Üye çıkış işlemi yapıldı.
